Date,Short Term Interest Rates,Personal Income,Consumer Prices(Inflation),Industrial Production,Consumer Confidence,Money Supply- Currency/Demand Deposit/Traveller Check,Money Supply- Deposit,Consumer Credit(in Billions),GDP
2023-09,5.49,4.119065,307.480988,103.611504,103,18171.40039,20754.90039,,4.9
2023-08,5.44,5.019067,306.269012,103.317001,108.699997,18303.40039,20825.30078,-3.8,4.9
2023-07,5.35,2.799455,304.347992,103.289497,114,18428,20863.69922,2.7,4.9
2023-06,5.22,2.565916,303.841003,102.292397,110.099998,18490.09961,20854.40039,3.3,2.1
2023-05,5.15,4.14201,303.294006,102.8498,102.5,18559.80078,20820.40039,0,2.1
2023-04,5.03,3.093212,302.917999,103.151199,103.699997,18591.90039,20705.69922,5.4,2.1
2023-03,4.91,5.960255,301.808014,102.659203,104,18939,20876.30078,4.8,2.2
2023-02,4.74,6.757287,301.64801,102.567101,103.400002,19313.69922,21100.90039,2,2.2
2023-01,4.61,12.076939,300.536011,102.547798,106,19555.69922,21222.30078,5.9,2.2
2022-12,4.51,2.431568,298.98999,101.484802,109,19820.80078,21358.19922,3.4,2.6
2022-11,4.46,1.383378,298.597992,103.070702,101.400002,19964.90039,21399.30078,9.1,2.6
2022-10,3.85,6.746474,297.987,103.4114,102.199997,20099.40039,21433.30078,8.2,2.6
2022-09,3.21,5.431015,296.539001,103.528297,107.800003,20281,21525.19922,6.5,2.7
2022-08,2.76,6.410423,295.320007,103.234398,103.599998,20479.90039,21659.90039,7.8,2.7
2022-07,2.5,9.784938,294.627991,103.132797,95.300003,20588.69922,21703.59961,6.2,2.7
2022-06,1.87,4.734022,294.727997,102.686302,98.400002,20607.69922,21666.40039,10.4,-0.6
2022-05,1.33,4.297607,291.268005,102.776901,103.199997,20638.90039,21665.59961,6.2,-0.6
2022-04,0.91,4.018165,288.610992,102.795303,108.599998,20650.80078,21677.19922,9.3,-0.6
2022-03,0.73,4.825125,287.471985,102.477997,107.599998,20664.19922,21697.59961,12.7,-2
2022-02,0.38,7.662909,284.609985,101.676598,105.699997,20533.5,21570.5,9.2,-2
2022-01,0.22,-3.215075,282.598999,101.022697,,20506.09961,21562.09961,3.7,-2
2021-12,0.17,3.151258,280.886993,100.886002,,20494.80078,21549.30078,5.6,7
2021-11,0.14,5.588701,278.710999,101.197098,,20250.59961,21316.30078,10.8,7
2021-10,0.11,8.908871,276.522003,100.304497,,20035.40039,21116.30078,4,7
2021-09,0.1,-8.482041,274.028015,99.061401,,19865.90039,20964.30078,7.2,3.3
2021-08,0.1,2.91607,272.869995,100.125504,,19733.80078,20847.90039,3.7,3.3
